date,itemid,fiscalyear,Item,sheet,Nominal millions of dollars,Real 2019 millions of dollars,Real 2019 per capita dollars,Share of GDP,Share of Total revenue
1886,300,1885/1886,Gross federal debt,all,263,7375.4462890625,1610.359497070313,.4690289497375488,7.735294342041016
1886,310,1885/1886,Unmatured debt,all,194,5440.443359375,1187.869750976563,.3459757268428802,5.705882549285889
1886,311,1885/1886,Treasury bills,all,0,0,0,0,0
1886,312,1885/1886,Canada savings bonds,all,0,0,0,0,0
1886,313,1885/1886,Marketable bonds,all,193,5412.39990234375,1181.746704101563,.3441923558712006,5.676470756530762
1886,320,1885/1886,Superannuation accounts,all,0,0,0,0,0
1886,330,1885/1886,Other liabilities,all,69,1935.003051757813,422.48974609375,.1230532228946686,2.029411792755127
1886,401,1885/1886,Unmatured debt payable in foreign currencies,all,172,4823.48583984375,1053.162841796875,.3067413568496704,5.058823585510254
1886,521,1885/1886,Debt charges,all,10,280.4352111816406,61.23039627075195,.0178338009864092,.294117659330368
1886,530,1885/1886,Cash deficit (+) or surplus (-),all,26,729.131591796875,159.1990356445313,.0463678799569607,.7647058963775635
1887,100,1886/1887,Net federal debt,all,227,6042.927734375,1306.296508789063,.3714759051799774,6.30555534362793
1887,200,1886/1887,Financial assets,all,46,1224.55810546875,264.7120971679688,.0752770528197289,1.277777791023254
1887,300,1886/1887,Gross federal debt,all,273,7267.48583984375,1571.008666992188,.4467529356479645,7.583333492279053
1887,310,1886/1887,Unmatured debt,all,192,5111.19873046875,1104.885131835938,.3141998648643494,5.333333492279053
1887,311,1886/1887,Treasury bills,all,0,0,0,0,0
1887,312,1886/1887,Canada savings bonds,all,0,0,0,0,0
1887,313,1886/1887,Marketable bonds,all,191,5084.578125,1099.130615234375,.312563419342041,5.30555534362793
1887,320,1886/1887,Superannuation accounts,all,0,0,0,0,0
1887,330,1886/1887,Other liabilities,all,81,2156.287109375,466.1234436035156,.1325530707836151,2.25
1887,401,1886/1887,Unmatured debt payable in foreign currencies,all,172,4578.7822265625,989.79296875,.2814707159996033,4.777777671813965
