"date","itemid","fiscalyear","Item","Normalization","Value"
1897,200,"1896/1897","Financial assets","Nominal millions of dollars",71
1897,300,"1896/1897","Gross federal debt","Nominal millions of dollars",333
1897,310,"1896/1897","Unmatured debt","Nominal millions of dollars",232
1897,311,"1896/1897","Treasury bills","Nominal millions of dollars",0
1897,312,"1896/1897","Canada savings bonds","Nominal millions of dollars",0
1897,313,"1896/1897","Marketable bonds","Nominal millions of dollars",227
1897,320,"1896/1897","Superannuation accounts","Nominal millions of dollars",0
1897,330,"1896/1897","Other liabilities","Nominal millions of dollars",101
1897,401,"1896/1897","Unmatured debt payable in foreign currencies","Nominal millions of dollars",218
1897,521,"1896/1897","Debt charges","Nominal millions of dollars",11
1897,530,"1896/1897","Cash deficit (+) or surplus (-)","Nominal millions of dollars",3
1898,100,"1897/1898","Net federal debt","Nominal millions of dollars",264
1898,200,"1897/1898","Financial assets","Nominal millions of dollars",75
1898,300,"1897/1898","Gross federal debt","Nominal millions of dollars",339
1898,310,"1897/1898","Unmatured debt","Nominal millions of dollars",237
1898,311,"1897/1898","Treasury bills","Nominal millions of dollars",0
1898,312,"1897/1898","Canada savings bonds","Nominal millions of dollars",0
1898,313,"1897/1898","Marketable bonds","Nominal millions of dollars",237
1898,320,"1897/1898","Superannuation accounts","Nominal millions of dollars",0
1898,330,"1897/1898","Other liabilities","Nominal millions of dollars",102
1898,401,"1897/1898","Unmatured debt payable in foreign currencies","Nominal millions of dollars",228
1898,521,"1897/1898","Debt charges","Nominal millions of dollars",11
1898,530,"1897/1898","Cash deficit (+) or surplus (-)","Nominal millions of dollars",2
1899,100,"1898/1899","Net federal debt","Nominal millions of dollars",266
1899,200,"1898/1899","Financial assets","Nominal millions of dollars",79
1899,300,"1898/1899","Gross federal debt","Nominal millions of dollars",345
1899,310,"1898/1899","Unmatured debt","Nominal millions of dollars",241
1899,311,"1898/1899","Treasury bills","Nominal millions of dollars",0
1899,312,"1898/1899","Canada savings bonds","Nominal millions of dollars",0
1899,313,"1898/1899","Marketable bonds","Nominal millions of dollars",237
